sim_num,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
0,2,40,False,99.0,0.15769437463954916,102.35000000000001,20,20
0,2,45,True,61.0,0.004696441001135792,257.5,23,22
0,2,45,False,98.0,0.1583720131993827,129.9,22,23
0,2,50,True,61.0,0.0010604921584304423,,25,25
0,2,50,False,99.0,0.17490322196424515,69.65,25,25
0,2,55,True,52.0,0.0023368642910748753,,54,1
0,2,55,False,100.0,0.17679400648944954,87.05000000000001,27,28
0,2,60,True,54.0,0.0,5.800000000000001,60,0
0,2,60,False,100.0,0.19107269995932552,132.25,30,30
0,2,65,True,48.0,0.0,5.800000000000001,65,0
0,2,65,False,100.0,0.1908912039455757,45.25,32,33
0,2,70,True,53.0,0.0,5.800000000000001,70,0
0,2,70,False,100.0,0.1985024503910848,130.9,35,35
0,2,75,True,46.0,0.0,5.800000000000001,75,0
0,2,75,False,100.0,0.19612847664835223,51.45,38,37
0,2,80,True,58.0,0.0,5.800000000000001,80,0
0,2,80,False,100.0,0.2113312530843557,,40,40
0,2,85,True,58.0,0.0,5.800000000000001,85,0
0,2,85,False,100.0,0.2091573298204754,97.80000000000001,42,43
0,2,90,True,59.0,0.0,5.800000000000001,90,0
0,2,90,False,100.0,0.2130895242751173,105.80000000000001,45,45
0,2,95,True,55.0,0.0,5.800000000000001,95,0
0,2,95,False,99.0,0.21206138834331767,168.0,48,47
0,2,100,True,57.0,0.0,5.800000000000001,100,0
0,2,100,False,99.0,0.21461852594542566,206.15,50,50
0,3,5,True,58.0,0.0,5.800000000000001,5,0
0,3,5,False,53.0,0.0,5.800000000000001,5,0
0,3,10,True,62.0,0.0,5.800000000000001,10,0
0,3,10,False,55.0,0.0,5.800000000000001,10,0
0,3,15,True,52.0,0.0,5.800000000000001,15,0
0,3,15,False,52.0,0.0,5.800000000000001,15,0
0,3,20,True,56.0,0.0,5.800000000000001,20,0
0,3,20,False,55.0,0.0,5.800000000000001,20,0
0,3,25,True,58.0,0.0,5.800000000000001,25,0
0,3,25,False,97.0,0.07436353648333348,94.05000000000001,13,12
0,3,30,True,49.0,0.0,5.800000000000001,30,0
0,3,30,False,98.0,0.1063155516821873,107.15,15,15
0,3,35,True,63.0,7.345031995078108e-05,161.05,29,6
0,3,35,False,96.0,0.1135194166872843,176.85000000000002,18,17
0,3,40,True,56.0,0.0018086898964891312,,20,20
0,3,40,False,98.0,0.1586707803269548,78.2,20,20
0,3,45,True,49.0,0.0016192176245870037,135.75,23,22
0,3,45,False,97.0,0.15197778352070815,91.4,23,22
0,3,50,True,56.0,0.016556129385687283,,25,25
0,3,50,False,100.0,0.24974966428957282,144.45000000000002,25,25
0,3,55,True,52.0,0.013587322234874298,139.70000000000002,27,28
0,3,55,False,47.0,0.031543748152164375,66.3,55,0
0,3,60,True,50.0,0.013863522474390258,155.70000000000002,30,30
0,3,60,False,100.0,0.2510314718852447,266.55,30,30
0,3,65,True,62.0,0.07410905729176141,,33,32
0,3,65,False,53.0,0.07506759680028531,53.2,64,1
0,3,70,True,51.0,0.027799942812994503,195.05,64,6
0,3,70,False,41.0,0.136972567417198,89.45,39,31
0,3,75,True,57.0,0.015924061834602765,180.5,37,38
0,3,75,False,98.0,0.20569552052032747,263.40000000000003,37,38
0,3,80,True,50.0,0.033130061851745544,230.45000000000002,40,40
0,3,80,False,96.0,0.20630825961023988,187.95000000000002,40,40
0,3,85,True,53.0,0.0036103230768588096,116.9,31,54
0,3,85,False,62.0,0.003361440809130478,151.15,0,85
0,3,90,True,50.0,0.1719104995044813,130.5,45,45
0,3,90,False,93.0,0.21414198526699135,,45,45
0,3,95,True,60.0,0.0369164912566063,,93,2
0,3,95,False,98.0,0.2175681073894274,119.35000000000001,48,47
0,3,100,True,55.0,0.16616130457097383,167.15,50,50
0,3,100,False,59.0,0.20314175316955874,213.45000000000002,50,50
0,4,5,True,53.0,0.0,5.800000000000001,5,0
0,4,5,False,54.0,0.0,5.800000000000001,5,0
0,4,10,True,58.0,0.0,5.800000000000001,10,0
0,4,10,False,54.0,0.0,5.800000000000001,10,0
0,4,15,True,47.0,0.0,5.800000000000001,15,0
0,4,15,False,53.0,0.0,5.800000000000001,15,0
0,4,20,True,52.0,0.0,5.800000000000001,20,0
0,4,20,False,51.0,0.0,5.800000000000001,20,0
0,4,25,True,49.0,0.0,5.800000000000001,25,0
0,4,25,False,97.0,0.07427062193985051,86.95,12,13
0,4,30,True,51.0,0.0,5.800000000000001,30,0
0,4,30,False,98.0,0.11537076742824555,136.3,15,15
0,4,35,True,54.0,0.0,5.800000000000001,35,0
0,4,35,False,98.0,0.14582562879038652,129.4,17,18
0,4,40,True,52.0,0.0,5.800000000000001,40,0
0,4,40,False,97.0,0.13609851755362898,102.05000000000001,20,20
0,4,45,True,64.0,0.0,5.800000000000001,45,0
0,4,45,False,94.0,0.14832068041018862,101.5,22,23
0,4,50,True,54.0,0.0,5.800000000000001,50,0
0,4,50,False,95.0,0.17286074463252774,105.0,25,25
0,4,55,True,56.0,0.0,5.800000000000001,55,0
0,4,55,False,46.0,0.004545961592064758,200.70000000000002,0,55
