,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
103,3,0,30,True,59.0,0.0,15.0,0,0
104,4,0,30,True,54.0,0.0,15.0,0,0
105,5,0,30,True,53.0,0.0,15.0,0,0
106,6,0,30,True,60.0,0.0,15.0,0,0
107,7,0,30,True,46.0,0.0,15.0,0,0
108,8,0,30,True,57.0,0.0,15.0,0,0
109,9,0,30,True,48.0,0.0,15.0,0,0
110,0,0,30,False,96.0,0.10772035906794206,164.15,15,15
111,1,0,30,False,98.0,0.11185118550105827,92.10000000000001,15,15
112,2,0,30,False,98.0,0.11110990384840093,109.05000000000001,15,15
113,3,0,30,False,98.0,0.11230567825845339,94.35000000000001,15,15
114,4,0,30,False,98.0,0.10689923458191171,142.95000000000002,15,15
115,5,0,30,False,95.0,0.11008470292924603,76.4,15,15
116,6,0,30,False,96.0,0.10977430246475253,149.85,15,15
117,7,0,30,False,97.0,0.10930605219417067,65.8,15,15
118,8,0,30,False,98.0,0.10841684075631318,112.35000000000001,15,15
119,9,0,30,False,97.0,0.1096807755845024,,15,15
120,0,0,35,True,57.0,0.0,15.0,0,0
121,1,0,35,True,45.0,0.0,15.0,0,0
122,2,0,35,True,53.0,0.0,15.0,0,0
123,3,0,35,True,54.0,0.0,15.0,0,0
124,4,0,35,True,60.0,0.0,15.0,0,0
125,5,0,35,True,51.0,0.0,15.0,0,0
126,6,0,35,True,49.0,0.0,15.0,0,0
127,7,0,35,True,52.0,0.0,15.0,0,0
128,8,0,35,True,53.0,0.0,15.0,0,0
129,9,0,35,True,54.0,0.0,15.0,0,0
130,0,0,35,False,97.0,0.1197655463995644,96.7,17,18
131,1,0,35,False,97.0,0.12494954343364484,136.65,18,17
132,2,0,35,False,98.0,0.11945730890104136,95.25,17,18
133,3,0,35,False,97.0,0.1235053383661302,110.5,17,18
134,4,0,35,False,98.0,0.12452134151760856,100.80000000000001,18,17
135,5,0,35,False,97.0,0.11860136199814005,50.550000000000004,17,18
136,6,0,35,False,98.0,0.12166895231889312,97.15,18,17
137,7,0,35,False,98.0,0.12085538050701977,110.15,18,17
138,8,0,35,False,98.0,0.1221851553913812,117.75,17,18
139,9,0,35,False,97.0,0.1231962025321861,34.050000000000004,18,17
140,0,0,40,True,59.0,0.0,15.0,0,0
141,1,0,40,True,51.0,0.0,15.0,0,0
142,2,0,40,True,54.0,0.0,15.0,0,0
143,3,0,40,True,56.0,0.0,15.0,0,0
144,4,0,40,True,54.0,0.0,15.0,0,0
145,5,0,40,True,55.0,0.0,15.0,0,0
146,6,0,40,True,52.0,0.0,15.0,0,0
147,7,0,40,True,58.0,0.0,15.0,0,0
148,8,0,40,True,55.0,0.0,15.0,0,0
149,9,0,40,True,56.0,0.0,15.0,0,0
150,0,0,40,False,98.0,0.14280735154382324,166.65,20,20
151,1,0,40,False,98.0,0.14321395144350815,,20,20
152,2,0,40,False,98.0,0.14461989296622374,,20,20
153,3,0,40,False,98.0,0.14820193510308083,139.85,20,20
154,4,0,40,False,98.0,0.14333529399865588,,20,20
155,5,0,40,False,98.0,0.14747288125429422,81.5,20,20
156,6,0,40,False,98.0,0.14190207112561895,182.85000000000002,20,20
157,7,0,40,False,98.0,0.14655478510569633,146.6,20,20
158,8,0,40,False,98.0,0.14575421070752065,42.1,20,20
159,9,0,40,False,96.0,0.14516196428074554,80.85000000000001,20,20
160,0,0,45,True,52.0,0.0,15.0,0,0
161,1,0,45,True,56.0,0.0,15.0,0,0
162,2,0,45,True,58.0,0.0,15.0,0,0
163,3,0,45,True,52.0,0.0,15.0,0,0
164,4,0,45,True,51.0,0.0,15.0,0,0
165,5,0,45,True,60.0,0.0,15.0,0,0
166,6,0,45,True,53.0,0.0,15.0,0,0
167,7,0,45,True,47.0,0.0,15.0,0,0
168,8,0,45,True,51.0,0.0,15.0,0,0
169,9,0,45,True,53.0,0.0,15.0,0,0
170,0,0,45,False,98.0,0.15374032889808117,,22,23
171,1,0,45,False,98.0,0.1522879626888685,238.15,23,22
172,2,0,45,False,98.0,0.15422877922857517,179.65,22,23
173,3,0,45,False,97.0,0.15758188183327976,90.95,22,23
174,4,0,45,False,98.0,0.1517290413083018,83.45,22,23
175,5,0,45,False,98.0,0.15054330781845615,113.80000000000001,22,23
176,6,0,45,False,98.0,0.1501996345785921,76.10000000000001,22,23
177,7,0,45,False,97.0,0.15366746339982437,68.60000000000001,22,23
178,8,0,45,False,98.0,0.15036532667739308,183.3,23,22
179,9,0,45,False,97.0,0.15055263985402842,166.55,23,22
180,0,0,50,True,55.0,0.0,15.0,0,0
181,1,0,50,True,60.0,0.0,15.0,0,0
182,2,0,50,True,49.0,0.0,15.0,0,0
183,3,0,50,True,55.0,0.0,15.0,0,0
184,4,0,50,True,49.0,0.0,15.0,0,0
185,5,0,50,True,55.0,0.0,15.0,0,0
186,6,0,50,True,58.0,0.0,15.0,0,0
187,7,0,50,True,56.0,0.0,15.0,0,0
188,8,0,50,True,55.0,0.0,15.0,0,0
189,9,0,50,True,50.0,0.0,15.0,0,0
190,0,0,50,False,96.0,0.17183853790110118,73.35000000000001,25,25
191,1,0,50,False,97.0,0.17395663900471442,76.75,25,25
192,2,0,50,False,98.0,0.17816750245086868,198.60000000000002,25,25
193,3,0,50,False,97.0,0.16928988025293482,57.050000000000004,25,25
194,4,0,50,False,98.0,0.17658451794199867,89.60000000000001,25,25
195,5,0,50,False,96.0,0.1728879868342804,94.60000000000001,25,25
196,6,0,50,False,98.0,0.17470013290155284,56.900000000000006,25,25
197,7,0,50,False,97.0,0.17584451578771224,133.15,25,25
198,8,0,50,False,97.0,0.18208809767067766,296.2,25,25
199,9,0,50,False,97.0,0.17683360504181792,,25,25
200,0,0,55,True,58.0,0.008188493843249907,167.15,27,27
201,1,0,55,True,48.0,0.008941728356035381,167.8,27,27
202,2,0,55,True,51.0,0.014235966193741064,181.10000000000002,54,0
203,3,0,55,True,52.0,0.07392698501912622,123.80000000000001,27,27
204,4,0,55,True,40.0,0.12786009196630602,194.70000000000002,27,27
205,5,0,55,True,46.0,0.026775093275501677,17.6,0,54
206,6,0,55,True,55.0,0.07116807624316814,122.65,27,27
207,7,0,55,True,42.0,0.00778702569556691,,0,54
208,8,0,55,True,51.0,0.010724082464541599,180.95000000000002,49,5
209,9,0,55,True,54.0,0.0016838933037173808,,27,27
210,0,0,55,False,46.0,0.20059049465245157,217.15,27,28
211,1,0,55,False,51.0,0.21614416002164638,208.15,28,27
212,2,0,55,False,45.0,0.17855249828130387,91.85000000000001,28,27
213,3,0,55,False,100.0,0.18696832393130022,122.25,28,27
214,4,0,55,False,100.0,0.24366640219765662,82.15,27,28
215,5,0,55,False,100.0,0.2854892106862669,77.0,28,27
216,6,0,55,False,100.0,0.27173535260338894,105.4,28,27
217,7,0,55,False,98.0,0.21282022194529857,80.65,27,28
218,8,0,55,False,100.0,0.23809280680479503,112.75,27,28
219,9,0,55,False,100.0,0.25769426422155156,82.10000000000001,27,28
220,0,0,60,True,57.0,2.742844788038791e-05,91.4,60,0
221,1,0,60,True,61.0,0.0033726610699076546,158.85000000000002,30,30
222,2,0,60,True,56.0,0.004274407173704793,160.4,30,30
223,3,0,60,True,48.0,0.0036389843922138097,196.70000000000002,30,30
224,4,0,60,True,54.0,0.00449094012620216,158.10000000000002,30,30
225,5,0,60,True,56.0,0.004065323776016685,196.70000000000002,30,30
226,6,0,60,True,50.0,0.0040841302465833085,198.20000000000002,30,30
227,7,0,60,True,50.0,0.0034174086062078025,,30,30
228,8,0,60,True,50.0,0.004063899711082881,165.55,30,30
229,9,0,60,True,55.0,0.0037505905492440784,198.45000000000002,30,30
230,0,0,60,False,98.0,0.23128991874943022,68.9,30,30
231,1,0,60,False,96.0,0.2174777720416411,93.35000000000001,30,30
232,2,0,60,False,97.0,0.19794750772345662,169.8,30,30
233,3,0,60,False,97.0,0.21407752209979478,82.2,30,30
234,4,0,60,False,98.0,0.228474328587449,237.45000000000002,30,30
235,5,0,60,False,98.0,0.2097087688368448,130.8,30,30
236,6,0,60,False,98.0,0.21431604978782806,104.65,30,30
237,7,0,60,False,80.0,0.21206832920261937,102.5,30,30
238,8,0,60,False,96.0,0.20353365851864733,160.20000000000002,30,30
239,9,0,60,False,99.0,0.20792346654213759,63.050000000000004,30,30
240,0,0,65,True,56.0,0.0006102814796298846,131.55,25,39
241,1,0,65,True,48.0,0.004730882985778219,159.45000000000002,32,32
242,2,0,65,True,57.0,0.003534429565082014,197.10000000000002,32,32
243,3,0,65,True,47.0,0.0038957282141211954,157.35000000000002,32,32
244,4,0,65,True,51.0,0.0019669946922796578,113.45,29,35
245,5,0,65,True,55.0,0.003751452289307567,164.5,32,32
246,6,0,65,True,59.0,0.004468016268916159,123.55000000000001,32,32
247,7,0,65,True,52.0,0.002025404198458699,121.0,32,32
248,8,0,65,True,58.0,0.0044664058105013575,164.70000000000002,32,32
249,9,0,65,True,57.0,0.003696350769726199,157.70000000000002,32,32
250,0,0,65,False,98.0,0.22583214321346837,260.40000000000003,33,32
251,1,0,65,False,58.0,0.1320567071868438,65.75,40,25
252,2,0,65,False,95.0,0.2139283708301984,92.25,33,32
253,3,0,65,False,97.0,0.20670168385865034,114.25,32,33
254,4,0,65,False,98.0,0.17729777268854685,132.75,29,36
255,5,0,65,False,98.0,0.21792899096226967,134.85,32,33
256,6,0,65,False,99.0,0.22643490202591382,134.9,33,32
257,7,0,65,False,100.0,0.22907715427965275,198.65,33,32
258,8,0,65,False,99.0,0.22793220561951613,118.5,32,33
259,9,0,65,False,98.0,0.22491692714765354,124.65,32,33
260,0,0,70,True,44.0,0.0006914112100251113,120.45,37,33
261,1,0,70,True,47.0,0.0007696670600967156,160.20000000000002,35,35
262,2,0,70,True,52.0,0.0008255720867577921,159.55,35,35
263,3,0,70,True,60.0,0.00039625111283469143,104.15,0,70
264,4,0,70,True,56.0,0.0002655511970420049,131.0,0,70
265,5,0,70,True,46.0,0.0005611082125629235,108.35000000000001,26,44
266,6,0,70,True,49.0,0.0008501645733056984,134.05,68,2
267,7,0,70,True,58.0,0.0004793917602119661,163.70000000000002,47,23
268,8,0,70,True,50.0,0.0009712308939271341,116.55000000000001,35,35
269,9,0,70,True,42.0,0.031018380171512858,215.75,0,70
270,0,0,70,False,46.0,0.04604717245394961,278.2,66,4
271,1,0,70,False,50.0,0.06311134347166615,,35,35
272,2,0,70,False,98.0,0.22613573795164926,88.25,35,35
273,3,0,70,False,99.0,0.1977263338654515,107.5,35,35
274,4,0,70,False,99.0,0.2373900375457201,133.20000000000002,35,35
275,5,0,70,False,51.0,0.05323424955246994,274.8,36,34
276,6,0,70,False,95.0,0.19712061291913563,119.75,35,35
277,7,0,70,False,95.0,0.2375190752788388,135.0,35,35
278,8,0,70,False,96.0,0.22337241013394768,196.65,35,35
279,9,0,70,False,100.0,0.2868328733825932,135.25,35,35
280,0,0,75,True,53.0,0.006130922253678574,163.0,37,37
281,1,0,75,True,53.0,0.00015593175910577238,134.4,34,40
282,2,0,75,True,57.0,0.0036541547231746098,162.05,37,37
283,3,0,75,True,58.0,0.0002296892795917984,130.65,74,0
284,4,0,75,True,55.0,0.001935287375774333,163.5,37,37
285,5,0,75,True,59.0,0.0014569530231752501,126.4,16,58
286,6,0,75,True,52.0,0.007106719587724894,111.80000000000001,37,37
287,7,0,75,True,58.0,0.00037506931207982044,162.9,48,26
288,8,0,75,True,45.0,0.00010515009044477665,93.0,0,74
289,9,0,75,True,59.0,0.009464128791495547,107.75,37,37
290,0,0,75,False,98.0,0.22287108423002847,165.4,37,38
291,1,0,75,False,100.0,0.2349400499566547,142.4,37,38
292,2,0,75,False,57.0,0.008633821660966294,133.85,0,75
293,3,0,75,False,98.0,0.19995973796891162,89.55000000000001,37,38
294,4,0,75,False,98.0,0.19723171169925793,85.2,37,38
295,5,0,75,False,98.0,0.20063352454288583,204.75,38,37
296,6,0,75,False,98.0,0.20180436061323595,140.3,38,37
297,7,0,75,False,98.0,0.22155420626450079,80.5,37,38
298,8,0,75,False,99.0,0.2266645458773994,118.5,37,38
299,9,0,75,False,50.0,0.06315619106018204,206.65,75,0
300,0,0,80,True,55.0,0.000623008440013214,107.9,40,40
301,1,0,80,True,46.0,0.0027128811678297526,163.70000000000002,7,73
302,2,0,80,True,54.0,0.0007191210488503436,116.05000000000001,36,44
303,3,0,80,True,50.0,0.00037251402179373983,131.35,55,25
304,4,0,80,True,64.0,0.0023937549538200417,131.05,11,69
305,5,0,80,True,53.0,0.002914755678931832,126.7,10,70
306,6,0,80,True,51.0,0.0005911674331443353,134.25,48,32
307,7,0,80,True,50.0,0.003967602581985307,163.8,40,40
308,8,0,80,True,60.0,0.0033986446151229237,106.0,40,40
309,9,0,80,True,61.0,0.0003359859513589133,128.8,19,61
310,0,0,80,False,98.0,0.23198609266854123,209.55,40,40
311,1,0,80,False,98.0,0.21319379631596502,161.60000000000002,40,40
312,2,0,80,False,57.0,0.0008443839493441297,138.8,0,80
313,3,0,80,False,98.0,0.20748114611944188,203.8,40,40
314,4,0,80,False,54.0,0.0004321398139736106,151.3,0,80
315,5,0,80,False,99.0,0.23203467280565626,238.15,40,40
316,6,0,80,False,99.0,0.23221903339067904,146.05,40,40
317,7,0,80,False,70.0,0.23091036697705522,140.8,45,35
318,8,0,80,False,45.0,0.08338682909304042,112.80000000000001,80,0
319,9,0,80,False,99.0,0.2309298156660181,134.55,40,40
320,0,0,85,True,61.0,0.00443216511102801,92.30000000000001,42,42
321,1,0,85,True,57.0,0.002985303306560639,126.2,0,42
322,2,0,85,True,52.0,0.004755842020256399,79.05000000000001,42,42
323,3,0,85,True,63.0,6.636147301984414e-05,162.4,8,76
324,4,0,85,True,47.0,0.00583855842657049,110.75,42,42
325,5,0,85,True,56.0,0.012307010453031333,105.45,42,42
326,6,0,85,True,52.0,0.001405473391333834,269.15000000000003,38,46
327,7,0,85,True,52.0,0.0024827755318068074,162.75,42,42
328,8,0,85,True,52.0,0.0015552887549889064,162.75,42,42
329,9,0,85,True,60.0,0.0033340762005408466,126.2,42,0
